session_pitch_id,releaseHeight,horizontalBreak,spinClockTiltHour,date,szx,szy,selected,verticalBreak,_hour,videoPointerID,speed,no,pitchType,_minute,spinConfidence,spinEfficiency,releaseSide,trueSpin,_month,_milisecond,strike,_day,truespin,_year,pitch_id,spin,launchAngle,_second,spinAxis,releaseExtension,rifleSpin,gyroDegree,mode,_id,spinClockTiltMinute,horizontalAngle,memo,session_pitch_id
82,5.317328026455042,-10.4,2,2019-09-25 00:00:00,-21.6,14.8,False,4.1,18,,70.6,57,6,55,0.9288617,96.1,-1.98604855944924,621,9,0,N,25,621,2019,1569437714,646,-0.027130818,14,09h:40m,-,-179.01799,-16.1,1,101637,20,0.9,,82
83,5.1479035511319005,-6.3,2,2019-09-25 00:00:00,-1.7,7.4,False,1,18,,71.2,58,6,54,0.9190235,51.5,-2.1329970504862503,372,9,0,N,25,372,2019,1569437696,723,0.004451765,56,09h:24m,-,-619.8184,-59.0,1,101637,36,2.9,,83
84,5.332542462173706,-8.7,2,2019-09-25 00:00:00,9.7,-0.1,False,2.9,18,,70.1,59,6,54,0.892581344,73.9,-1.7195725091754301,517,9,0,N,25,517,2019,1569437673,700,-0.676694155,33,09h:42m,-,-471.565033,-42.4,1,101637,18,3.6,,84
85,5.2361886562529705,0,1,2019-09-25 00:00:00,-32.2,56.5,False,0,18,,70.3,60,6,54,0,0,-1.8910486806959161,0,9,0,N,25,0,2019,1569437650,0,3.11398435,10,0,-,-63.84357,-90.0,1,101637,18,-0.7,,85
86,5.2751673308529,-13.6,1,2019-09-25 00:00:00,1.4,40.9,False,14.5,18,,83.1,61,4,53,0.8166342,93.4,-2.1376148326455002,2177,9,0,Y,25,2177,2019,1569437628,2332,-0.25943464,48,10h:36m,-,-835.7726,-21.0,1,101637,24,4.1,,86
87,4.92785663478693,14.3,8,2019-09-25 00:00:00,3.6,14.8,False,-6.2,18,,67.7,62,4,53,0.770833552,68.3,-2.048777667156137,1476,9,0,Y,25,1476,2019,1569437609,2160,1.8619262,29,03h:46m,-,-1576.73755,-46.9,1,101637,14,0.2,,87
88,4.881102369624,0,10,2019-09-25 00:00:00,-18.8,10,False,0,18,,69.5,63,4,52,0,0,-2.011077535865237,0,9,0,N,25,0,2019,1569437578,0,2.61903167,58,0,-,-554.4922,-90.0,1,101637,6,-2.0,,88
89,5.0365026323274,0,8,2019-09-25 00:00:00,-37.6,35,False,0,18,,70.7,64,4,52,0,0,-2.164149419300006,0,9,0,N,25,0,2019,1569437563,0,2.7614603,43,0,-,-2054.061,-90.0,1,101637,58,-2.3,,89
90,5.150434620689554,14.7,8,2019-09-25 00:00:00,-11.9,39.8,False,-2.1,18,,67.4,65,4,52,0.8424483,61.2,-2.0511176605980137,1315,9,0,N,25,1315,2019,1569437539,2148,3.42581058,19,03h:18m,-,-1698.44507,-52.3,1,101637,42,-0.7,,90
91,4.919821365745845,10,8,2019-09-25 00:00:00,2.7,12.5,False,-4,18,,70.4,66,4,51,0.773635745,47.2,-2.1284089271196964,1039,9,0,N,25,1039,2019,1569437503,2198,1.172808,43,03h:42m,-,-1937.5249,-61.8,1,101637,18,0.6,,91
92,4.892068445756154,18.4,7,2019-09-25 00:00:00,-17,31.4,False,-11.6,18,,69.5,67,4,51,0.777251244,94,-2.3546973362563053,2394,9,0,N,25,2394,2019,1569437486,2547,2.48610735,26,04h:02m,-,869.394,20.0,1,101637,58,-0.6,,92
